"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"57","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/SqlGetTable.java","3","214","Parameter 'value' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"58","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/SqlGetTable.java","3","215","Parameter 'hasFocus' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"59","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/SqlGetTable.java","3","215","Parameter 'index' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"60","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/SqlGetTable.java","3","215","Parameter 'isSelected' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"61","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/SqlGetTable.java","3","217","This statement should have braces","Code Style","ControlStatementBraces"
"62","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/SqlGetTable.java","3","218","This statement should have braces","Code Style","ControlStatementBraces"
"1","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","39","Header comments are required","Documentation","CommentRequired"
"3","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","39","The class name 'gisGui' doesn't match '[A-Z][a-zA-Z0-9]+'","Code Style","ClassNamingConventions"
"4","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","41","Field comments are required","Documentation","CommentRequired"
"5","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","42","Field comments are required","Documentation","CommentRequired"
"6","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","42","Variables should start with a lowercase character, 'DataSheet' starts with uppercase character.","Code Style","VariableNamingConventions"
"7","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","43","Field comments are required","Documentation","CommentRequired"
"8","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","43","Variables should start with a lowercase character, 'MinCoorLon' starts with uppercase character.","Code Style","VariableNamingConventions"
"9","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","44","Field comments are required","Documentation","CommentRequired"
"10","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","44","Variables should start with a lowercase character, 'MinCoorLat' starts with uppercase character.","Code Style","VariableNamingConventions"
"11","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","45","Field comments are required","Documentation","CommentRequired"
"12","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","45","Variables should start with a lowercase character, 'MaxCoorLon' starts with uppercase character.","Code Style","VariableNamingConventions"
"13","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","46","Field comments are required","Documentation","CommentRequired"
"14","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","46","Variables should start with a lowercase character, 'MaxCoorLat' starts with uppercase character.","Code Style","VariableNamingConventions"
"15","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","47","Field comments are required","Documentation","CommentRequired"
"16","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","47","Variables should start with a lowercase character, 'StartTime' starts with uppercase character.","Code Style","VariableNamingConventions"
"17","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","48","Field comments are required","Documentation","CommentRequired"
"18","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","48","Variables should start with a lowercase character, 'EndTime' starts with uppercase character.","Code Style","VariableNamingConventions"
"19","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","49","Field comments are required","Documentation","CommentRequired"
"20","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","49","Variables should start with a lowercase character, 'IDSubString' starts with uppercase character.","Code Style","VariableNamingConventions"
"21","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","50","Field comments are required","Documentation","CommentRequired"
"22","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","51","Field comments are required","Documentation","CommentRequired"
"23","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","52","Field comments are required","Documentation","CommentRequired"
"24","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","53","Field comments are required","Documentation","CommentRequired"
"25","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","54","Field comments are required","Documentation","CommentRequired"
"26","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","55","Field comments are required","Documentation","CommentRequired"
"27","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","56","Field comments are required","Documentation","CommentRequired"
"28","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","57","Field comments are required","Documentation","CommentRequired"
"29","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","58","Field comments are required","Documentation","CommentRequired"
"30","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","59","Field comments are required","Documentation","CommentRequired"
"31","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","59","Variables should start with a lowercase character, 'FilterType' starts with uppercase character.","Code Style","VariableNamingConventions"
"32","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","60","Field comments are required","Documentation","CommentRequired"
"33","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","61","Avoid excessively long variable names like chckbxUseNotOperator","Code Style","LongVariable"
"34","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","61","Field comments are required","Documentation","CommentRequired"
"35","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","62","Field comments are required","Documentation","CommentRequired"
"36","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","63","Field comments are required","Documentation","CommentRequired"
"37","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","64","Field comments are required","Documentation","CommentRequired"
"38","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","73","Field comments are required","Documentation","CommentRequired"
"39","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","74","Field comments are required","Documentation","CommentRequired"
"40","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","82","Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"41","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","84","Public method and constructor comments are required","Documentation","CommentRequired"
"42","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","86","Local variable 'window' could be declared final","Code Style","LocalVariableCouldBeFinal"
"43","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","108","Local variable 'bgColor' could be declared final","Code Style","LocalVariableCouldBeFinal"
"44","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","114","Local variable 'btnAddFilter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"45","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","117","Avoid variables with short names like e","Code Style","ShortVariable"
"46","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","117","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"47","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","117","Public method and constructor comments are required","Documentation","CommentRequired"
"48","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","118","Variables should start with a lowercase character, 'Array' starts with uppercase character.","Code Style","VariableNamingConventions"
"49","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","119","Local variable 'filterType' could be declared final","Code Style","LocalVariableCouldBeFinal"
"50","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","120","Local variable 'operatorStr' could be declared final","Code Style","LocalVariableCouldBeFinal"
"51","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","121","Local variable 'isNot' could be declared final","Code Style","LocalVariableCouldBeFinal"
"52","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","123","This statement should have braces","Code Style","ControlStatementBraces"
"53","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","124","This statement should have braces","Code Style","ControlStatementBraces"
"54","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","125","This statement should have braces","Code Style","ControlStatementBraces"
"55","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","126","This statement should have braces","Code Style","ControlStatementBraces"
"56","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","163","Local variable 'btnResetDb' could be declared final","Code Style","LocalVariableCouldBeFinal"
"57","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","166","Avoid variables with short names like e","Code Style","ShortVariable"
"58","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","166","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"59","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","166","Public method and constructor comments are required","Documentation","CommentRequired"
"60","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","174","Local variable 'btnUndoLastFilter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"61","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","177","Avoid variables with short names like e","Code Style","ShortVariable"
"62","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","177","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"63","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","177","Public method and constructor comments are required","Documentation","CommentRequired"
"64","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","185","Local variable 'lblCurrentData' could be declared final","Code Style","LocalVariableCouldBeFinal"
"65","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","190","Local variable 'operatorOptions' could be declared final","Code Style","LocalVariableCouldBeFinal"
"66","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","198","Local variable 'lblFilterOperator' could be declared final","Code Style","LocalVariableCouldBeFinal"
"67","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","243","Local variable 'options' could be declared final","Code Style","LocalVariableCouldBeFinal"
"68","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","249","Avoid variables with short names like e","Code Style","ShortVariable"
"69","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","249","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"70","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","249","Public method and constructor comments are required","Documentation","CommentRequired"
"71","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","250","Local variable 'filType' could be declared final","Code Style","LocalVariableCouldBeFinal"
"72","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","251","Local variable 'operatorStr' could be declared final","Code Style","LocalVariableCouldBeFinal"
"73","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","268","Local variable 'lblFilterType' could be declared final","Code Style","LocalVariableCouldBeFinal"
"74","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","283","Local variable 'format' could be declared final","Code Style","LocalVariableCouldBeFinal"
"75","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","327","Local variable 'menuBar' could be declared final","Code Style","LocalVariableCouldBeFinal"
"76","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","330","Local variable 'mnAddData' could be declared final","Code Style","LocalVariableCouldBeFinal"
"77","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","333","Local variable 'mntmAddFolder' could be declared final","Code Style","LocalVariableCouldBeFinal"
"78","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","336","Avoid variables with short names like e","Code Style","ShortVariable"
"79","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","336","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"80","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","336","Public method and constructor comments are required","Documentation","CommentRequired"
"81","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","337","Avoid variables with short names like fc","Code Style","ShortVariable"
"82","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","337","Local variable 'fc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"83","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","339","Local variable 'returnVal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"84","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","350","Local variable 'mntmAddFile' could be declared final","Code Style","LocalVariableCouldBeFinal"
"85","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","353","Avoid variables with short names like e","Code Style","ShortVariable"
"86","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","353","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"87","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","353","Public method and constructor comments are required","Documentation","CommentRequired"
"88","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","354","Avoid variables with short names like fc","Code Style","ShortVariable"
"89","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","354","Local variable 'fc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"90","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","355","Local variable 'filter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"91","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","359","Local variable 'returnVal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"92","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","371","Avoid variables with short names like e","Code Style","ShortVariable"
"93","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","371","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"94","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","371","Public method and constructor comments are required","Documentation","CommentRequired"
"95","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","372","Local variable 'importFilterFc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"96","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","373","Local variable 'filter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"97","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","377","Local variable 'returnVal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"98","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","386","Local variable 'mntmTablesqlTable' could be declared final","Code Style","LocalVariableCouldBeFinal"
"99","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","388","Avoid variables with short names like e","Code Style","ShortVariable"
"100","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","388","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"101","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","388","Public method and constructor comments are required","Documentation","CommentRequired"
"102","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","389","Local variable 'sgt' could be declared final","Code Style","LocalVariableCouldBeFinal"
"103","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","396","Local variable 'mnExport' could be declared final","Code Style","LocalVariableCouldBeFinal"
"104","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","399","Local variable 'mntmToCsv' could be declared final","Code Style","LocalVariableCouldBeFinal"
"105","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","401","Avoid variables with short names like e","Code Style","ShortVariable"
"106","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","401","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"107","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","401","Public method and constructor comments are required","Documentation","CommentRequired"
"108","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","402","Avoid variables with short names like fc","Code Style","ShortVariable"
"109","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","402","Local variable 'fc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"110","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","404","Local variable 'returnVal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"111","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","413","Avoid variables with short names like e","Code Style","ShortVariable"
"112","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","413","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"113","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","413","Public method and constructor comments are required","Documentation","CommentRequired"
"114","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","414","Local variable 'Tableframe' could be declared final","Code Style","LocalVariableCouldBeFinal"
"115","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","1","414","Variables should start with a lowercase character, 'Tableframe' starts with uppercase character.","Code Style","VariableNamingConventions"
"116","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","416","Local variable 'scrollPane' could be declared final","Code Style","LocalVariableCouldBeFinal"
"117","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","426","Local variable 'mntmToKml' could be declared final","Code Style","LocalVariableCouldBeFinal"
"118","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","428","Avoid variables with short names like e","Code Style","ShortVariable"
"119","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","428","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"120","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","428","Public method and constructor comments are required","Documentation","CommentRequired"
"121","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","429","Local variable 'kmlFc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"122","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","431","Local variable 'returnVal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"123","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","433","Local variable 'dbToKml' could be declared final","Code Style","LocalVariableCouldBeFinal"
"124","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","443","Avoid variables with short names like e","Code Style","ShortVariable"
"125","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","443","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"126","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","443","Public method and constructor comments are required","Documentation","CommentRequired"
"127","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","444","Local variable 'filterFc' could be declared final","Code Style","LocalVariableCouldBeFinal"
"128","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","446","Local variable 'returnVal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"129","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","457","Local variable 'mnAlgorithms' could be declared final","Code Style","LocalVariableCouldBeFinal"
"130","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","460","Avoid excessively long variable names like mntmAssessMacLocation","Code Style","LongVariable"
"131","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","460","Local variable 'mntmAssessMacLocation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"132","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","462","Avoid variables with short names like e","Code Style","ShortVariable"
"133","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","462","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"134","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","462","Public method and constructor comments are required","Documentation","CommentRequired"
"135","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","463","Avoid variables with short names like a1","Code Style","ShortVariable"
"136","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","463","Local variable 'a1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"137","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","469","Avoid excessively long variable names like mnAssessScanLocation","Code Style","LongVariable"
"138","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","469","Local variable 'mnAssessScanLocation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"139","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","472","Local variable 'mntmByScanString' could be declared final","Code Style","LocalVariableCouldBeFinal"
"140","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","474","Avoid variables with short names like e","Code Style","ShortVariable"
"141","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","474","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"142","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/gisGui.java","3","474","Public method and constructor comments are required","Documentation","CommentRequired"
